Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Demand_MW_z1,Demand_MW_z2,Demand_MW_z3
,,,,,,,,246,1529.529072,6996.583369,5098.424084
,,,,,,,,247,1638.319707,7816.061701,5663.946079
,,,,,,,,248,1688.898361,8826.415259,6014.038165
,,,,,,,,249,1633.524196,9584.223391,6070.121808
,,,,,,,,250,1557.008967,9886.351078,6026.646826
,,,,,,,,251,1568.228992,9934.379423,5903.540525
,,,,,,,,252,1429.981012,9782.298353,5645.150377
,,,,,,,,253,1347.711034,9820.195799,5329.453273
,,,,,,,,254,1342.906215,9651.795392,5373.609004
,,,,,,,,255,1345.018222,9878.577243,5376.08415
,,,,,,,,256,1398.273894,9877.749345,5534.556478
,,,,,,,,257,1450.098349,9663.950129,5695.775092
,,,,,,,,258,1541.64521,9216.982004,5657.553385
,,,,,,,,259,1563.395692,8524.122353,5537.517833
,,,,,,,,260,1574.711197,8521.147211,5452.313915
,,,,,,,,261,1638.964528,7962.438033,5530.703489
,,,,,,,,262,1595.717251,7714.489366,5130.127895
,,,,,,,,263,1528.581717,7409.240074,4870.773742
,,,,,,,,264,1631.083321,7129.692619,4990.257339
,,,,,,,,265,1567.10987,6781.622338,4692.736972
,,,,,,,,266,1392.550762,6465.947852,4869.158994
,,,,,,,,267,1327.869324,6316.431214,4609.894271
,,,,,,,,268,1333.536846,6317.944552,4514.946055
,,,,,,,,269,1389.393809,6457.059065,4695.17386
,,,,,,,,270,1454.148085,6976.086579,5065.953967
,,,,,,,,271,1564.862083,7731.003243,5664.304641
,,,,,,,,272,1675.177502,8718.343064,6006.344726
,,,,,,,,273,1681.68372,9739.180653,6250.624398
,,,,,,,,274,1623.88429,10217.5202,6285.93553
,,,,,,,,275,1656.27651,10436.76997,6226.919531
,,,,,,,,276,1551.337201,10691.12925,6030.335083
,,,,,,,,277,1508.148973,10494.96696,5925.931227
,,,,,,,,278,1504.904776,10776.81937,5836.732861
,,,,,,,,279,1563.603525,10992.76866,6027.614703
,,,,,,,,280,1677.656558,10967.49558,6306.577719
,,,,,,,,281,1865.406483,10599.31778,6549.480129
,,,,,,,,282,1936.581595,9236.38446,6524.246689
,,,,,,,,283,1950.042653,8479.760954,6312.746935
,,,,,,,,284,1839.56905,8515.960356,6117.632374
,,,,,,,,285,1772.827312,8212.061754,5992.194884
,,,,,,,,286,1748.346331,8077.120275,5540.513721
,,,,,,,,287,1601.538148,7810.826637,5228.946317
,,,,,,,,288,1644.780592,7367.926576,5288.737433
,,,,,,,,289,1580.089547,6898.257984,4916.908719
,,,,,,,,290,1405.998718,6497.791256,5047.427141
,,,,,,,,291,1334.513433,6333.959858,4723.295418
,,,,,,,,292,1306.368776,6304.530461,4624.880385
,,,,,,,,293,1281.333677,6329.704175,4657.417426
,,,,,,,,294,1288.282031,6409.321117,4729.138553
,,,,,,,,295,1318.121763,6730.967671,4931.882722
,,,,,,,,296,1271.248172,7232.121496,5301.591974
,,,,,,,,297,1251.694948,8047.952731,5601.152204
,,,,,,,,298,1156.320459,8521.588113,5729.871091
,,,,,,,,299,1126.20781,8622.379812,5774.129308
,,,,,,,,300,958.3874968,8585.910902,5617.342022
,,,,,,,,301,871.3593275,8663.294751,5486.583327
,,,,,,,,302,788.9290352,8443.266181,5315.581908
,,,,,,,,303,774.4020279,8420.372763,5158.724054
,,,,,,,,304,816.9829318,8181.910165,5133.149646
,,,,,,,,305,919.4935909,7911.813068,5139.996616
,,,,,,,,306,1056.33001,7735.333852,5143.213336
,,,,,,,,307,1115.046294,7538.048206,5067.70928
,,,,,,,,308,1164.70902,7750.543473,5030.345825
,,,,,,,,309,1270.388388,7587.481237,5065.989247
,,,,,,,,310,1225.480586,7357.930203,4832.433762
,,,,,,,,311,1182.541224,7101.0166,4671.22917
